"";"Estado";"emp";"sit";"setor";"esp";"dep";"PL";"lucros";"gov_ca";"gov_cf";"gov_aud";"maior_rem";"plr_rva";"qde_empregados";"desp_investimento";"desp_pessoal";"Dividendos";"Subvenção";"Subvenção (anterior)";"Reforço de Capital";"Reforço de Capital (anterior)";"capital";"link";"indicio_dependencia";"var_capital";"var_acoes";"Nome_estado";"REGIAO";"gov";"result_NA";"Resultado para o Estado Acionista"
"11";"AC";"Empresa de Processamento de Dados do Acre SA";"ATIVA";"INFORMÁTICA E TECNOLOGIA DA INFORMAÇÃO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";91943019,76;10173506,72;"SIM";"SIM";"NÃO";135825,4;"Não";84;0;9821151,87;0;11668906,5;10032591,15;0;0;0;"Site não disponível";"DEPENDENTE";0;0;"Acre";"Norte";FALSE;FALSE;-11668906,5
"12";"AC";"Empresa de Assistência Técnica e Extensão Rural do Acre";"ATIVA";"PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA";"EMPRESA PÚBLICA";"Dependente";-8249,79;167735,68;"SIM";"SIM";"NÃO";196416,99;"Não";154;115200;17785540,09;0;21588474,27;21980155,84;0;0;0;"Site não disponível";"DEPENDENTE";0;0;"Acre";"Norte";FALSE;FALSE;-21588474,27
"13";"AL";"Agência de Fomento de Alagoas";"ATIVA";"FINANCEIRO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";52522631,07;-6442000;"SIM";"SIM";"NÃO";113893,13;"Não";57;0;7086000;0;821561,3;1022875,58;0;0;0;"https://www.desenvolve-al.com.br/institucional/relatorios-da-administracao/";"DEPENDENTE";0;0;"Alagoas";"Nordeste";FALSE;FALSE;-821561,3
"14";"AL";"Alagoas Ativos SA";"ATIVA";"GESTÃO DE ATIVOS";"EMPRESA PÚBLICA";"Não Dependente";706636;-97606,31;"SIM";"SIM";"NÃO";355778,52;"Não";16;0;2103280;0;0;0;0;0;0;"https://www.alagoasativos.com.br/governanca/politicas/";"NÃO DEPENDENTE";0;1e+07;"Alagoas";"Nordeste";FALSE;FALSE;0
"15";"AL";"Banco do Estado de Alagoas SA";"EM LIQUIDAÇÃO";"FINANCEIRO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";140543701,73;-4134931,27;"NÃO";"SIM";"NÃO";301616,09;"Não";3;0;501264,57;0;1e+05;1e+05;0;0;0;"Site não disponível";"DEPENDENTE";0;0;"Alagoas";"Nordeste";FALSE;FALSE;-1e+05
"16";"AL";"Companhia Alagoana de Recursos Humanos e Patrimoniais";"EM LIQUIDAÇÃO";"GESTÃO DE ATIVOS";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";11038528,88;0;"NÃO";"SIM";"NÃO";112291,23;"Não";1;0;28072,81;0;455504,67;2748823,08;0;0;16928865,24;"Site não disponível";"DEPENDENTE";16928865,24;0;"Alagoas";"Nordeste";FALSE;FALSE;-455504,67
"17";"AL";"Companhia de Edição Impressão e Publicação de Alagoas";"ATIVA";"COMUNICAÇÃO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";6116610,96;-261187,32;"SIM";"SIM";"NÃO";223929,29;"Não";126;0;9573118,48;0;0;0;0;0;0;"https://www.imprensaoficial.al.gov.br/";"NÃO DEPENDENTE";0;0;"Alagoas";"Nordeste";FALSE;FALSE;0
"18";"AL";"Companhia de Saneamento de Alagoas";"ATIVA";"SANEAMENTO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";6439278784,32;-61231260,37;"SIM";"SIM";"SIM";446113,96;"Não";816;47592842,83;109391022,81;0;0;0;44800272,47;77500000;287699727,53;"https://www.casal.al.gov.br/tipo-de-arquivo/carta-anual-de-politicas-publicas-e-governanca-corporativa-governanca/";"NÃO DEPENDENTE";332500000;0;"Alagoas";"Nordeste";TRUE;FALSE;-44800272,47
"19";"AL";"Gás de Alagoas SA";"ATIVA";"GÁS E DERIVADOS";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";135101145,23;47641826,43;"SIM";"SIM";"SIM";384882,28;"Sim";142;30295852,31;27451630,03;11328802,35;0;0;0;0;0;"https://governanca.algas.com.br/carta-anual-de-politicas-publicas-e-governanca-corporativa";"NÃO DEPENDENTE";4273707,15;517434,53;"Alagoas";"Nordeste";TRUE;FALSE;11328802,35
"20";"AL";"Laboratório Industrial Farmacêutico";"EM LIQUIDAÇÃO";"GESTÃO DE ATIVOS";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";68792,54;0;"NÃO";"SIM";"NÃO";61682,04;"Não";0;0;5140,17;0;211232,68;354932,54;0;0;-21306,48;"Site não disponível";"DEPENDENTE";4873,1;0;"Alagoas";"Nordeste";FALSE;FALSE;-211232,68
"21";"AL";"Serviços de Engenharia de Alagoas SA";"EM LIQUIDAÇÃO";"GESTÃO DE ATIVOS";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";1686959,01;0;"NÃO";"SIM";"NÃO";206142,15;"Não";1;0;41228,43;0;204636,81;1018063,95;0;0;0;"Site não disponível";"DEPENDENTE";0;0;"Alagoas";"Nordeste";FALSE;FALSE;-204636,81
"22";"AP";"Companhia de Água e Esgoto do Amapá";"ATIVA";"SANEAMENTO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";954159,93;1850796,08;"SIM";"SIM";"NÃO";0;"Não";414;0;46365631,41;0;0;0;0;0;0;"https://caesa.portal.ap.gov.br/pagina/carta-de-servico";"DEPENDENTE";-452245958,5;-5245225458;"Amapá";"Norte";FALSE;FALSE;0
"23";"AP";"Companhia de Gás do Amapá";"ATIVA";"GÁS E DERIVADOS";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";-2738000;-221000;"SIM";"SIM";"NÃO";69750;"Não";2;0;69750;0;0;0;0;0;101000;"https://gasap.com.br/pre-qualificacao";"NÃO DEPENDENTE";101000;-663000;"Amapá";"Norte";FALSE;FALSE;0
"24";"AP";"Agência de Fomento Popular";"ATIVA";"FINANCEIRO";"EMPRESA PÚBLICA";"Não Dependente";15237488,18;-2253804,96;"SIM";"SIM";"NÃO";277852,44;"Não";93;0;7959879,12;0;0;0;0;15600000;0;"https://www.afap.ap.gov.br/transparencia/governanca/2020";"NÃO DEPENDENTE";0;-28655740,38;"Amapá";"Norte";FALSE;FALSE;0
"25";"AM";"Empresa Estadual de Turismo";"ATIVA";"TURISMO";"EMPRESA PÚBLICA";"Dependente";4922783,92;-613957,52;"SIM";"SIM";"SIM";310596,79;"Não";147;0;13824225,08;0;71978545,77;89476491,55;0;0;0;"https://www.amazonastur.am.gov.br/wp-content/uploads/2023/02/Carta-de-Servicos-2023.pdf";"DEPENDENTE";0;0;"Amazonas";"Norte";TRUE;FALSE;-71978545,77
"26";"AM";"Agência de Fomento do Estado do Amazonas SA";"ATIVA";"FINANCEIRO";"EMPRESA PÚBLICA";"Não Dependente";111312592,4;2545582,48;"SIM";"SIM";"SIM";528124,13;"Sim";268;271947503,36;47094628,7;0;0;0;0;0;0;"https://www.afeam.am.gov.br/wp-content/uploads/2024/05/CARTA-ANUAL-2023-VF-assinado.pdf";"NÃO DEPENDENTE";5915309;5915309;"Amazonas";"Norte";TRUE;FALSE;0
"27";"AM";"Companhia de Desenvolvimento do Estado do Amazonas";"ATIVA";"DESENVOLVIMENTO REGIONAL";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente Com Indícios De Dependência";55731601,84;-1508507,96;"SIM";"SIM";"NÃO";724160;"Não";199;0;29668566,74;0;30817836,33;29927040,76;0;0;49020719,22;"https://www.ciama.am.gov.br/wp-content/uploads/2023/07/CARTA-DE-SERVICO-CIAMA.pdf";"NÃO DEPENDENTE COM INDÍCIOS DE DEPENDÊNCIA";49020719,22;0;"Amazonas";"Norte";FALSE;FALSE;-30817836,33
"28";"AM";"Companhia Amazonense de Desenvolvimento e Mobilização de Ativos";"ATIVA";"GESTÃO DE ATIVOS";"EMPRESA PÚBLICA";"Não Dependente";2965149,42;-4389277,14;"SIM";"SIM";"SIM";439200;"Não";26;22907;4495550;0;0;0;6e+06;5500000;0;"https://www.cada.am.gov.br/wp-content/uploads/2024/03/CARTA-DE-SERVICOS-2024.pdf";"NÃO DEPENDENTE";6e+06;6e+06;"Amazonas";"Norte";TRUE;FALSE;-6e+06
"29";"AM";"Companhia de Gás do Amazonas";"ATIVA";"GÁS E DERIVADOS";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";398402502,17;168444871,53;"SIM";"SIM";"NÃO";786598,33;"Sim";210;55352633,59;1780705,42;13989342,26;0;0;0;0;0;"https://www.cigas-am.com.br/relatorio-de-sustentabilidade";"NÃO DEPENDENTE";5775222,52;0;"Amazonas";"Norte";FALSE;FALSE;13989342,26
"30";"AM";"PRODAM Processamento de Dados Amazonas SA";"ATIVA";"INFORMÁTICA E TECNOLOGIA DA INFORMAÇÃO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";34966644;-16612229;"SIM";"SIM";"SIM";739666,67;"Sim";447;1465262;87174230;0;0;0;0;0;0;"https://prodam.am.gov.br/acesso-a-informacao/carta-de-governanca-2023/";"NÃO DEPENDENTE";0;0;"Amazonas";"Norte";TRUE;FALSE;0
"31";"AM";"Companhia de Saneamento do Amazonas";"ATIVA";"SANEAMENTO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";-16036867,06;-16353424,53;"SIM";"SIM";"NÃO";421513,82;"Não";475;4962151,34;41385833,11;0;47283701,48;44240949,77;4042877,04;14500000;0;"http://www.cosama.am.gov.br/";"DEPENDENTE";0;0;"Amazonas";"Norte";FALSE;FALSE;-51326578,52
"32";"AM";"Agência de Desenvolvimento Sustentável do Amazonas";"ATIVA";"DESENVOLVIMENTO REGIONAL";"EMPRESA PÚBLICA";"Dependente";5809432,26;514430,93;"SIM";"SIM";"NÃO";152747,89;"Não";82;0;3540083,33;0;102148016,19;134194729,39;0;0;0;"https://www.ads.am.gov.br/";"DEPENDENTE";0;-1;"Amazonas";"Norte";FALSE;FALSE;-102148016,19
"33";"BA";"Companhia de Gás da Bahia";"ATIVA";"GÁS E DERIVADOS";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";1010277928,15;439676112,87;"SIM";"SIM";"SIM";504717,4;"Sim";604;204541319,05;103016220,5;71076345,7;0;0;0;0;0;"https://www.bahiagas.com.br/sobre-a-bahiagas/cartas-anuais";"NÃO DEPENDENTE";21137460,4;900344;"Bahia";"Nordeste";TRUE;FALSE;71076345,7
"34";"BA";"Empresa Baiana de Ativos SA";"ATIVA";"GESTÃO DE ATIVOS";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";63524946;-2909421;"SIM";"SIM";"SIM";525550,22;"Não";15;897;4234823;0;0;0;0;0;0;"http://www.bahiainveste.ba.gov.br/";"NÃO DEPENDENTE";-0,400000005960464;0;"Bahia";"Nordeste";TRUE;FALSE;0
"35";"BA";"Bahia Pesca SA";"ATIVA";"PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";-6739905;1711832;"SIM";"SIM";"NÃO";343628,88;"Não";110;861350;12857926;0;5400883;4506880;2558600;5175404;0;"https://www.ba.gov.br/bahiapesca/";"DEPENDENTE";0;0;"Bahia";"Nordeste";FALSE;FALSE;-7959483
"36";"BA";"Companhia Baiana de Pesquisa Mineral";"ATIVA";"MINERAÇÃO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";93670670,04;1803988,99;"SIM";"SIM";"NÃO";438011,16;"Não";151;1668458,7;41664008,61;0;6087023,91;7080708,68;0;0;0;"http://www.cbpm.ba.gov.br/transparencia/carta-anual-de-politicas-publicas-e-governanca-corporativa/";"DEPENDENTE";0;0;"Bahia";"Nordeste";FALSE;FALSE;-6087023,91
"37";"BA";"Companhia de Engenharia Hídrica e de Saneamento da Bahia";"ATIVA";"SANEAMENTO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";-8698883,27;-396080,78;"SIM";"SIM";"SIM";397800,12;"Não";1055;68633903,8;98152082,88;0;122801246,42;110774769,16;0;0;0;"http://www.cerb.ba.gov.br/sites/www.cerb.ba.gov.br/files/a_cerb/nosso_papel/page/files/CARTA%20ANUAL%202022%20CERB.pdf";"DEPENDENTE";0;0;"Bahia";"Nordeste";TRUE;FALSE;-122801246,42
"38";"BA";"Companhia de Desenvolvimento Urbano do Estado da Bahia";"ATIVA";"HABITAÇÃO E URBANIZAÇÃO";"EMPRESA PÚBLICA";"Dependente";193934070,57;-7704420,99;"SIM";"SIM";"NÃO";358884,88;"Não";382;0;34605509,11;0;1316954725,41;852393362,39;0;0;0;"https://www.conder.ba.gov.br/sites/default/files/2024-04/CARTA GOVERNANÇA 2024_0.pdf";"DEPENDENTE";0;0;"Bahia";"Nordeste";FALSE;FALSE;-1316954725,41
"39";"BA";"Empresa Baiana de Águas e Saneamento";"ATIVA";"SANEAMENTO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";7035274725,96;868107052,24;"SIM";"SIM";"SIM";813700,04;"Sim";4638;923481585,74;983574047,25;0;0;0;0;0;106916330,43;"https://www.embasa.ba.gov.br/index.php/institucional/a-embasa/governanca/carta-anual-de-governanca-corporativa";"NÃO DEPENDENTE";106916330,43;0;"Bahia";"Nordeste";TRUE;FALSE;0
"40";"BA";"Agência de Fomento do Estado da Bahia SA";"ATIVA";"FINANCEIRO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";789918322,5;67422565;"SIM";"SIM";"SIM";394079,3;"Sim";251;0;61481489;18293260,4;0;0;0;0;0;"https://www.desenbahia.ba.gov.br/wp-content/uploads/2024/05/carta-anual-politicas-publicas-e-governanca-corporativa-2023-revfinal.pdf";"NÃO DEPENDENTE";35671857,78;8136224901;"Bahia";"Nordeste";TRUE;FALSE;18293260,4
"41";"BA";"Companhia de Desenvolvimento e Ação Regional";"ATIVA";"DESENVOLVIMENTO REGIONAL";"EMPRESA PÚBLICA";"Dependente";-39270884;-1184296;"SIM";"SIM";"NÃO";467124,04;"Não";368;0;40105465,37;0;53410345,45;44309929,01;0;0;12549845,65;"https://www.car.ba.gov.br/";"DEPENDENTE";12549845,65;0;"Bahia";"Nordeste";FALSE;FALSE;-53410345,45
"42";"BA";"Companhia de Transporte do Estado da Bahia";"ATIVA";"TRANSPORTE";"EMPRESA PÚBLICA";"Dependente";56843121,94;-4215422,03;"SIM";"SIM";"NÃO";446027,18;"Não";115;19042532,36;18582311,94;0;59945660,22;652734763,63;0;0;22737270,41;"https://www.ba.gov.br/trilhos/";"DEPENDENTE";22737270,41;0;"Bahia";"Nordeste";FALSE;FALSE;-59945660,22
"43";"BA";"Empresa Gráfica da Bahia";"ATIVA";"COMUNICAÇÃO";"EMPRESA PÚBLICA";"Não Dependente";62264486;-329184;"SIM";"SIM";"SIM";501171,12;"Não";170;0;20450951,14;0;0;0;0;0;0;"http://www.egba.ba.gov.br/";"NÃO DEPENDENTE";0;0;"Bahia";"Nordeste";TRUE;FALSE;0
"44";"BA";"Companhia de Processamento de Dados do Estado da Bahia";"ATIVA";"INFORMÁTICA E TECNOLOGIA DA INFORMAÇÃO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";100877908,05;17236658,58;"SIM";"SIM";"SIM";446021,8;"Não";637;31729773;92586434,27;0;0;0;0;0;8829991;"https://www.prodeb.ba.gov.br/sites/default/files/repositorio-midias/documentos/2024-04/Carta%20aos%20Acionistas%20Exerc%C3%ADcio%202023.pdf";"NÃO DEPENDENTE";8829991;0;"Bahia";"Nordeste";TRUE;FALSE;0
"45";"BA";"Habitação e Urbanização da Bahia SA";"EM LIQUIDAÇÃO";"HABITAÇÃO E URBANIZAÇÃO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";-37920629,84;11981603,15;"SIM";"SIM";"NÃO";334133,71;"Não";51;0;8318156,94;0;0;0;0;6e+06;0;"Site não disponível";"NÃO DEPENDENTE";1,2e+07;6e+07;"Bahia";"Nordeste";FALSE;FALSE;0
"46";"CE";"Agência de Desenvolvimento do Estado do Ceará SA";"ATIVA";"DESENVOLVIMENTO REGIONAL";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";195686299;12418460;"SIM";"SIM";"NÃO";268397;"Não";127;14522328;19704788;1758353;0;0;0;0;0;"https://www.adece.ce.gov.br/governanca-corporativa/";"NÃO DEPENDENTE";0;0;"Ceará";"Nordeste";FALSE;FALSE;1758353
"47";"CE";"Companhia de Água e Esgoto do Ceará";"ATIVA";"SANEAMENTO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";2919837272,36;120220575,51;"SIM";"SIM";"SIM";749163,25;"Sim";5802;1153191499,04;697157270,18;39995894,31;0;0;38334495,7;0;0;"https://www.cagece.com.br/governanca-corporativa/informacoes/";"NÃO DEPENDENTE";180135096,35;2406028;"Ceará";"Nordeste";TRUE;FALSE;1661398,61
"48";"CE";"Companhia de Participação de Ativos do Ceará";"ATIVA";"GESTÃO DE ATIVOS";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";1288591,4;-1573967,56;"SIM";"SIM";"NÃO";192181,83;"Não";17;169390,51;3146473,54;0;0;0;0;0;0;"https://cepart.com.br/carta-anual/";"NÃO DEPENDENTE";0;0;"Ceará";"Nordeste";FALSE;FALSE;0
"49";"CE";"Centrais de Abastecimento do Ceará SA";"ATIVA";"ABASTECIMENTO DE ALIMENTOS E OUTROS INSUMOS";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";6713358,19;-228466,05;"SIM";"SIM";"NÃO";197788,16;"Não";255;0;20534315,59;0;0;0;0;0;0;"https://www.ceasa-ce.com.br/governanca/";"NÃO DEPENDENTE";2916228;2916228;"Ceará";"Nordeste";FALSE;FALSE;0
"50";"CE";"Companhia de Gás do Ceará";"ATIVA";"GÁS E DERIVADOS";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";289668625,59;90125076,53;"SIM";"SIM";"SIM";320244,71;"Sim";150;38532500,88;13722218,98;77762013,69;0;0;0;0;0;"https://www.cegas.com.br/carta-anual-de-politicas-publicas-e-governanca-corporativa/";"NÃO DEPENDENTE";10300245,95;0;"Ceará";"Nordeste";TRUE;FALSE;77762013,69
"51";"CE";"Companhia de Gestão dos Recursos Hídricos";"ATIVA";"SANEAMENTO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";242818015;5029827;"SIM";"SIM";"SIM";561260,97;"Não";923;18427894;98137036;0;0;0;3350355;1946234;8498667;"https://portal.cogerh.com.br/carta-anual-de-politicas-publicas-e-governanca-corporativa-2/";"NÃO DEPENDENTE";11849021;10030720;"Ceará";"Nordeste";TRUE;FALSE;-3350355
"52";"CE";"Companhia de Habitação do Ceará";"EM LIQUIDAÇÃO";"HABITAÇÃO E URBANIZAÇÃO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";29404405;-13663803,85;"NÃO";"SIM";"NÃO";115062,98;"Não";41;48895,08;3206463,14;0;9400117,83;3394757,81;0;0;0;"https://www.seplag.ce.gov.br/COHAB-CE/";"DEPENDENTE";0;0;"Ceará";"Nordeste";FALSE;FALSE;-9400117,83
"53";"CE";"Companhia de Desenvolvimento do Complexo Industrial e Portuário do Pecém";"ATIVA";"PORTOS E HIDROVIAS";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";1271966706,62;98053362,81;"SIM";"SIM";"SIM";632374,78;"Sim";332;57571499,21;68496315,21;22545893,45;0;0;0;0;0;"https://www.complexodopecem.com.br/docs/carta-anual/";"NÃO DEPENDENTE";0;0;"Ceará";"Nordeste";TRUE;FALSE;22545893,45
"54";"CE";"Empresa de Assistência Técnica e Extensão Rural do Ceará";"ATIVA";"PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA";"EMPRESA PÚBLICA";"Dependente";-93541281,39;-5041346,93;"SIM";"SIM";"NÃO";451079,52;"Não";797;28068,92;117679198,29;0;125847483,44;118328110,46;0;0;0;"https://www.ematerce.ce.gov.br/";"DEPENDENTE";0;0;"Ceará";"Nordeste";FALSE;FALSE;-125847483,44
"55";"CE";"Empresa de Tecnologia da Informação do Ceará";"ATIVA";"INFORMÁTICA E TECNOLOGIA DA INFORMAÇÃO";"EMPRESA PÚBLICA";"Dependente";13983537;7808729;"SIM";"SIM";"NÃO";569244,49;"Não";205;0;52621921;0;50337610;71723922,01;0;0;0;"https://www.etice.ce.gov.br/cartas-anuais-de-politicas-publicas-e-governanca-corporativa/";"DEPENDENTE";0;0;"Ceará";"Nordeste";FALSE;FALSE;-50337610
"56";"CE";"Companhia Cearense de Transportes Metropolitanos";"ATIVA";"TRANSPORTE";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente Com Indícios De Dependência";979292458,58;-47808470,32;"SIM";"SIM";"SIM";301237,5;"Não";1164;16803507,49;110323291,22;0;194001671,98;196009565,73;4400000;8359764;0;"https://www.metrofor.ce.gov.br/acesso-informacao/relatorios/";"NÃO DEPENDENTE COM INDÍCIOS DE DEPENDÊNCIA";8399000;10078800;"Ceará";"Nordeste";TRUE;FALSE;-198401671,98
"57";"CE";"ZPE Ceará";"ATIVA";"PORTOS E HIDROVIAS";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";25644437,1;9359281,34;"SIM";"SIM";"NÃO";323914,5;"Não";116;2513276,43;17507202,41;0;0;0;0;0;0;"https://zpeceara.com.br/carta-anual-de-politicas-publicas-e-governanca-corporativa/";"NÃO DEPENDENTE";0;0;"Ceará";"Nordeste";FALSE;FALSE;0
"58";"DF";"Banco Regional de Brasília";"ATIVA";"FINANCEIRO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";2607437071,79;204880334,37;"SIM";"SIM";"SIM";804338,54;"Sim";3376;104997122,52;1193597471,01;37687950,11;0;0;0;0;0;"https://novo.brb.com.br/";"NÃO DEPENDENTE";0;0;"Distrito Federal";"Centro-oeste";TRUE;FALSE;37687950,11
"59";"DF";"Cartão BRB";"ATIVA";"FINANCEIRO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";1224354289,58;84667614,18;"SIM";"SIM";"SIM";648271,91;"Sim";280;135309342,88;54757468,38;0;0;0;0;0;0;"https://www.brbcard.com.br/wp-content/uploads/2024/09/Carta-Anual-Politicas-Publicas-Gov-Corporativa-2023-vf.pdf";"NÃO DEPENDENTE";68231058,1999999;0;"Distrito Federal";"Centro-oeste";TRUE;FALSE;0
"60";"DF";"BRB Crédito Financiamento e Investimento";"ATIVA";"FINANCEIRO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";326177093,53;77594764,15;"SIM";"SIM";"SIM";628529,89;"Sim";3;0;1076903,91;0;0;0;0;0;0;"https://novo.brb.com.br/";"NÃO DEPENDENTE";0;0;"Distrito Federal";"Centro-oeste";TRUE;FALSE;0
"61";"DF";"BRB Distribuidora de Títulos e Valores Mobiliários";"ATIVA";"FINANCEIRO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";58550290,64;1555863,09;"SIM";"SIM";"SIM";607889,29;"Sim";6;0;2594734,37;0;0;0;0;0;0;"https://novo.brb.com.br/";"NÃO DEPENDENTE";0;0;"Distrito Federal";"Centro-oeste";TRUE;FALSE;0
